"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2021","73.7194","73.6533","74.1871","73.5556","","0.09%"
"02/16/2021","73.6533","73.3225","73.8965","73.1509","","0.45%"
"02/15/2021","73.3225","73.7114","73.7175","73.1566","","-0.53%"
"02/12/2021","73.7114","73.6155","74.4614","73.5170","","0.13%"
"02/11/2021","73.6155","73.9408","73.9450","73.5357","","-0.44%"
"02/10/2021","73.9408","73.8836","74.0047","73.6327","","0.08%"
"02/09/2021","73.8836","74.3034","74.3034","73.8723","","-0.56%"
"02/08/2021","74.3034","74.6528","74.6528","74.1570","","-0.47%"
"02/05/2021","74.6528","75.5065","75.5065","74.5365","","-1.13%"
"02/04/2021","75.5065","75.9423","76.0430","75.3199","","-0.57%"
"02/03/2021","75.9423","76.2240","76.2821","75.7821","","-0.37%"
"02/02/2021","76.2240","76.1354","76.2261","75.3236","","0.12%"
"02/01/2021","76.1354","75.7404","76.1860","75.3592","","0.52%"
"01/29/2021","75.7404","75.9592","76.3330","75.2508","","-0.29%"
"01/28/2021","75.9592","75.8464","76.4995","75.7025","","0.15%"
"01/27/2021","75.8464","75.0963","75.9664","74.8817","","1.00%"
"01/26/2021","75.0963","75.3460","75.7690","74.9556","","-0.33%"
"01/25/2021","75.3460","75.2899","75.8454","74.6421","","0.07%"
"01/22/2021","75.2899","73.8340","75.3530","73.8340","","1.97%"
"01/21/2021","73.8340","73.5241","74.0539","73.2524","","0.42%"
"01/20/2021","73.5241","73.6709","73.6800","73.2252","","-0.20%"
"01/19/2021","73.6709","74.0232","74.0232","73.6034","","-0.48%"
"01/18/2021","74.0232","73.6309","74.3643","73.6309","","0.53%"
"01/15/2021","73.6309","73.2179","73.8708","73.2100","","0.56%"
"01/14/2021","73.2179","73.7649","73.9952","73.1215","","-0.74%"
"01/13/2021","73.7649","73.5369","73.9703","73.3923","","0.31%"
"01/12/2021","73.5369","74.6691","74.6691","73.5057","","-1.52%"
"01/11/2021","74.6691","74.1636","74.9882","74.1545","","0.68%"
"01/08/2021","74.1636","73.9221","74.8097","73.8582","","0.33%"
"01/06/2021","73.9221","74.0283","74.1920","73.4184","","-0.14%"
"01/05/2021","74.0283","74.3051","75.1970","73.8609","","-0.37%"
"01/04/2021","74.3051","74.4121","74.4150","73.0857","","-0.14%"
"12/30/2020","74.4121","74.0354","74.9649","73.6495","","0.51%"
"12/29/2020","74.0354","73.7570","74.0882","73.3793","","0.38%"
"12/28/2020","73.7570","74.1956","74.1956","73.5498","","-0.59%"
"12/25/2020","74.1956","73.8873","74.2233","73.6338","","0.42%"
"12/24/2020","73.8873","75.0744","75.1465","73.8750","","-1.58%"
"12/23/2020","75.0744","75.8958","75.9100","74.7382","","-1.08%"
"12/22/2020","75.8958","74.8058","75.8983","74.8000","","1.46%"
"12/21/2020","74.8058","73.3477","75.4339","73.3464","","1.99%"
"12/18/2020","73.3477","72.8620","73.8658","72.8620","","0.67%"
"12/17/2020","72.8620","73.3497","73.3504","72.6629","","-0.66%"
"12/16/2020","73.3497","73.3824","73.7033","73.2609","","-0.04%"
"12/15/2020","73.3824","73.8683","73.8722","73.3256","","-0.66%"
"12/14/2020","73.8683","72.9572","73.9742","72.8020","","1.25%"
"12/11/2020","72.9572","73.0484","73.3939","72.9042","","-0.12%"
"12/10/2020","73.0484","73.8723","73.8915","72.9875","","-1.12%"
"12/09/2020","73.8723","73.5166","74.0410","73.1700","","0.48%"
"12/08/2020","73.5166","73.6484","73.8387","73.0598","","-0.18%"
"12/07/2020","73.6484","74.0634","74.5031","73.3032","","-0.56%"
"12/04/2020","74.0634","74.4431","74.4500","73.7716","","-0.51%"
"12/03/2020","74.4431","75.0718","75.3725","74.2960","","-0.84%"
"12/02/2020","75.0718","75.8453","75.9375","75.0718","","-1.02%"
"12/01/2020","75.8453","76.4033","76.4123","75.5635","","-0.73%"
"11/30/2020","76.4033","75.8605","76.5633","75.8084","","0.72%"
"11/27/2020","75.8605","75.7072","76.3024","75.6560","","0.20%"
"11/26/2020","75.7072","75.5406","75.7497","75.3270","","0.22%"
"11/25/2020","75.5406","75.4715","75.9678","75.3325","","0.09%"
"11/24/2020","75.4715","76.1755","76.1755","75.3620","","-0.92%"
"11/23/2020","76.1755","76.1924","76.5025","75.5883","","-0.02%"
"11/20/2020","76.1924","76.0553","76.2618","75.8693","","0.18%"
"11/19/2020","76.0553","76.0511","76.6023","76.0497","","0.01%"
"11/18/2020","76.0511","76.2305","76.3149","75.5415","","-0.24%"
"11/17/2020","76.2305","76.1698","76.6608","76.1371","","0.08%"
"11/16/2020","76.1698","77.4023","77.4023","76.1698","","-1.59%"
"11/13/2020","77.4023","77.3496","77.6973","77.1855","","0.07%"
"11/12/2020","77.3496","77.1139","77.5357","76.6478","","0.31%"
"11/11/2020","77.1139","76.5700","77.1805","76.0648","","0.71%"
"11/10/2020","76.5700","76.3064","76.8763","76.1413","","0.35%"
"11/09/2020","76.3064","77.4158","77.4158","75.7712","","-1.43%"
"11/06/2020","77.4158","77.0264","77.9096","76.9942","","0.51%"
"11/05/2020","77.0264","79.3552","79.3552","76.7948","","-2.93%"
"11/03/2020","79.3552","80.5386","80.5500","79.0757","","-1.47%"
"11/02/2020","80.5386","79.5257","80.9205","79.5257","","1.27%"
"10/30/2020","79.5257","78.8685","79.5680","78.7848","","0.83%"
"10/29/2020","78.8685","79.2242","79.5905","78.6219","","-0.45%"
"10/28/2020","79.2242","77.3059","79.2268","77.3059","","2.48%"
"10/27/2020","77.3059","76.4950","77.3084","76.2755","","1.06%"
